11,"B?te humaine,La",Margarette Beals
13,Blue Valentines,Caro Derrett,761507515-7
16,Before Midnight,Dermot Cotterel,621321019-9
18,Valley of Head Hunters,Yorker Filyaev,757057008-1
19,"She No Longer Talks,She Shoots",Welch Goldberg
20,BloodRayne,Andi Lithgow,947110857-8
21,Disco Dancer,Isabelita Janway,706987711-0
22,Firestarter,Tilda Schirak,702450665-2
23,Lisa Picard is Famous (a.k.a. Famous),Kathye Morphew,066419203-3
24,Sunday,Terrel McGlone,855244339-2
25,Around the World in 80 Days,Rosalinda Jeppe,694337852-X
26,Ronal the Barbarian,Pieter Tesche,175498085-6
27,Pianomania,Chloe Eacott,825581127-3
28,David Holzman's Diary,Shanda Slinn,688897414-6
29,There's Always Tomorrow,Teresita MacGorman,486923723-7
30,Night Train,Maximilianus Bernhard,946155190-8
31,Adam and Dog,Celene Penni,080293680-6
33,Pure Country,Lynea Barroux,965895175-9
34,"Manitou,The",Ash Fenech
35,Dark Journey,Jannelle Petracci,680987525-5
36,Emergo (Apartment 143),Marlo Eggleson,996833582-7
37,Hoffman,Violante Corston,836599539-5
38,Without Warning,Elisabeth Truce,506857116-4
39,Crossfire,Winona Sousa,400380661-1
40,Toy Story of Terror,Lurline Sitlinton,782203582-7
41,Come See the Paradise,Katti Tarbath,010883385-2
42,Together (Han ni Zai Yiki),Enrico Knewstub,351893527-5
43,Tokyo Chorus (T?ky? no k?rasu),Koral Betteriss,647856181-X
44,Il cappotto di legno,Bryn Yakushkin,378781277-6
45,Sleepwalk with Me,Camellia Yurchishin,317487160-3
46,Makai Tensho: Samurai Reincarnation (Makai tensh?),Kaiser Walling,295259089-3
47,Shameless (Maskeblomstfamilien ),Val Imlach,550984259-8
48,Shadrach,Serene Truelock,775348639-X
49,Idle Hands,Stanly Rix,928044347-X
50,Zatoichi's Pilgrimage (Zat?ichi umi o wataru) (Zat?ichi 14),Anselm Rookesby,877586804-0
51,Breaking the Girls,Auguste Beamand,209842472-8
52,Boyfriends and Girlfriends (a.k.a. My Girlfriend's Boyfriend) (L'ami de mon amie),Maggy Etteridge,852710533-0
53,Charlie's Country,Felecia Linggood,622707076-9
54,"Profession of Arms,The (Il mestiere delle armi)",Matty Bennen
55,Man of the World,Cristal Popple,907696184-0
56,"Man in the Iron Mask,The",Odele Townes
57,"Irene,Go Home! (Irena do domu!)",Nerissa Burniston
58,Port of Shadows (Quai des brumes),Foss Witherspoon,153471557-6
59,Paradise: Love,Dyna Marlin,685433686-4
60,Hiding Out,Aluin Seeviour,765474577-X
61,Love Wrecked,Yorgos Perchard,914768976-5
62,Breakheart Pass,Eleanora Charrette,631671691-5
63,Middle of Nowhere,Keeley Rothermel,781310903-1
64,Libel,Marcello Barlace,348246917-2
65,"French Lieutenant's Woman,The",Frederik Cattonnet
66,Clonehunter,Alec Breens,055981846-7
67,Killer McCoy,Kory Kelemen,072719334-1
68,Chennai Express,Tilda Splain,359094843-4
69,Animal Love (Tierische Liebe),Philippa Nodes,184005836-6
70,Out On A Limb,Nap Donaldson,010664448-3
71,"Divo,Il",Isadore Witheridge
72,Fried Green Tomatoes,Mureil Chetham,465169140-4
73,"Serbian Film,A (Srpski film)",Brittaney De Matteis
74,Free to Play,Bunnie Agglione,103497842-X
75,Han Gong-ju,Mason Erb,664049761-1
76,"Man Who Saves the World,The (D?nyayi Kurtaran Adam)",Andeee Kennington
77,Dr. Wai in the Scriptures with No Words (Mao xian wang),Park MacLeod,913504073-4
78,Ju-on: The Grudge 2,Nichols Leatt,731280409-8
79,Tales from the Hood,Kitty Dimitriades,132513180-6
80,Hollywood Homicide,Keelia Brankley,038436263-X
81,Rock-A-Doodle,Claudie Jillings,414946418-9
82,Lupin III: Sweet Lost Night (Rupan Sansei: Sweet Lost Night),Dedie Pellitt,386864840-2
83,Just Imagine,Sandro Buzine,948491830-1
84,"Snowman,The",Fredra Salter
85,One Magic Christmas,Lilah Hendrik,818059676-1
86,Timecop,Blayne Linfoot,508789747-9
87,Zus & Zo,Catherine Dudny,221277738-8
88,Skhizein,Corinna Archard,141851623-6
89,"Blue Max,The",Archibald Sansum
90,Ishtar,Devonne Coster,266096434-3
91,Satisfaction (a.k.a. Girls of Summer),Delphine Audibert,876433498-8
92,"Sudden Wealth of the Poor People of Kombach,The (Der pl?tzliche Reichtum der armen Leute von Kombach)",Belva Martonfi
93,Rampo (a.k.a. The Mystery of Rampo),Barbi Whittock,816518177-7
94,Staten Island,Danika Charlin,855341011-0
95,Common Places (a.k.a. Common Ground) (Lugares comunes),Annadiane De Caroli,219888198-5
96,"Weather Man,The",Jenda Theseira
97,Frogs for Snakes,Otho Kyberd,580965786-9
98,"Devil Is a Woman,The",Haven Sprankling
99,India's Daughter,Bren Jonson,952972204-4
100,Spy Kids 2: The Island of Lost Dreams,Morley Strete,336299068-1
101,Landet som icke ?r,Zilvia Treadgall,625305416-3
102,Conan the Barbarian,Merla Pahl,703821077-7
103,Where Are My Children?,Erika Iannuzzi,294677470-8
104,Born to Dance,Tiffi Deeble,992343403-6
105,"Girl Next Door,The",Liza Theseira
106,Marci X,Murielle de Chastelain,128389483-1
107,Mouth to Mouth,Cecilla Gartan,626649110-9
108,Needing You... (Goo naam gwa neui),Kasper Standen,860915166-2
109,Back in the Day,Cart Kopf,785343139-2
110,Girls Will Be Girls,Carr Treher,535648254-X
111,Standing in the Shadows of Motown,Matelda Brasher,732781743-3
112,The Gold Spinners,Forest Earlam,766342077-2
113,Titus,Isadore Eltringham,979611562-X
114,Let the Fire Burn,Friedrick Tuma,053696205-7
115,When Worlds Collide,Elisha Ipsly,799470678-9
116,"Animal,The",Tootsie Mussetti
117,"Gas,Inspector Palmu! (Kaasua,komisario Palmu!)"
118,Love Steaks,Bobby Razoux,841022856-4
119,Dragon Ball Z: Dead Zone (Doragon b?ru Z 1: Ora no Gohan wo kaese),Chen Revens,533170083-7
120,Best of the Best,Rubia Metzke,752801756-6
121,I Am the Law,Buckie Vasyuchov,120681001-7
122,Dragon Ball Z: The Return of Cooler (Doragon b?ru Z 6: Gekitotsu! Hyakuoku paw? no senshi),Bendite Duesberry,719297775-6
123,"Call of the Wild,The",Perla Perrott
124,Bring It On: Fight to the Finish,Finlay Ridesdale,829609522-X
125,White Lightnin',Leela McMennum,559514511-0
126,"Damsel in Distress,A",Zara Jerrolt
127,If These Walls Could Talk,Orazio Stratz,687893858-9
128,Ulysses (Ulisse),Massimiliano Bondy,048695921-X
129,"Woman in Black,The",Chrotoem Bonett
130,Up the Sandbox,Hagen St. Paul,591949002-0
131,Legends of the Canyon,Jyoti Mallord,489919863-9
132,Kaspar Hauser,Martie Lovat,104506808-X
133,StreetDance 3D,Johanna Luckie,870822029-8
134,Mister Buddwing,Afton Rayworth,003622531-2
135,3:10 to Yuma,Ronda Weatherill,088424494-6
136,Michael Shayne: Private Detective,Becca Aldwinckle,724274504-7
137,"Rebel,The (Le Rebelle)",Joachim Scarr
138,Arsenic and Old Lace,Page Bretherick,592163875-7
139,Antisocial,Maddy Klee,710165626-9
140,"Weather Man,The",Eamon Harnetty
141,"Minus Man,The",Jarid Glasheen
142,Matewan,Starlene Fynes,534487112-0
143,"Bunch Of Amateurs,A",Dexter Denisyev
144,Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon b?ru Z 8: Moetsukiro!! Nessen retsusen-ch? gekisen),Malcolm Coulman,616535296-0
145,"Santa Clause 2,The",Filia Bateup
146,"Goke,Body Snatcher from Hell (Kyuketsuki Gokemidoro)",Chastity Daouze
147,Kumar?,Northrup Cheel,306980276-1
148,Dead Silence,Judie Gritsunov,018355848-0
149,The Heavy,Glynis Radbourne,279358585-8
150,Beyond the Fear,Mamie Battison,408753394-8
151,Rogue Cop,Calli Massard,617705502-8
152,"Full Monty,The",Beauregard Pasque
153,Judas Kiss,Sofie Reichelt,512573955-3
154,Why We Fight,Rosalyn Ledwitch,123749608-X
155,Silent House,Errol Ogger,801445147-3
156,I'll Cry Tomorrow,Oberon Ebanks,913840228-9
157,Word Wars,Den McAlester,381500965-0
158,Hammett,Siffre Sikorski,735883216-7
159,Heima,Rhett Bearn,409666639-4
160,"Most Wanted Man,A",Giles Allibon
161,"Wonderful Ice Cream Suit,The",Georgianna Sidebotton
162,Any Number Can Play,Rhoda Careless,077828109-4
163,My Cousin Vinny,Law Mycroft,542554440-5
164,"Run of the Country,The",Bianca Georgeon
165,Damn the Defiant! (H.M.S. Defiant),Wainwright Moreton,020297912-1
166,"Secret Garden,The",Merry O'Fairy
167,"Last Flight of Noah's Ark,The",Jasmin Sisse
168,In Old Arizona,Valery Ackred,553344604-4
169,"Two of Us,The (Le vieil homme et l'enfant)",Kendell Bourne
170,Partners,Bernadine Lorking,693737995-1
171,Small Town of Anara (Qalaqi Anara),Thorn Matushevich,139605576-2
172,Zatoichi Challenged (Zat?ichi chikemuri kaid?) (Zat?ichi 17),Jaquelin Ainsby,790875227-6
173,Dolemite,Duky Bortoli,031938323-7
174,Full Speed (? toute vitesse),Loralyn Schwier,204283739-3
175,"Return of a Man Called Horse,The",Birgitta Daintrey
176,The Baker's Wife,Enid Gallimore,904974028-6
177,See You in the Morning,Penn Rao,128986277-X
178,Johnny Tremain,Jaclyn Snaith,763615197-9
179,Magic in the Water,Seymour Braybrooke,826809884-8
180,Antichrist,Tadd Troppmann,896544528-0
181,D.L. Hughley: Reset,Berny Henningham,270988780-0
182,Christmas Evil (a.k.a. You Better Watch Out),Hube Poone,817455775-X
183,Garbo the Spy (Garbo: El esp?a),Joli Blooman,248324450-5
184,"Hole,The",Pascale Ghilks
185,Leap Year,Veronika Tottle,200107823-4
186,"Descent: Part 2,The",Clair Guislin
187,Pearl Jam: Immagine in Cornice - Live in Italy 2006,Cordell Skelcher,348470871-9
188,Zuzu Angel,Riccardo Shelley,305728549-X
189,Satan's Tango (S?t?ntang?),Morgen Uppett,966832420-X
190,Make Them Die Slowly (Cannibal Ferox),Cherie Seavers,185858956-8
191,Commander Hamilton (Hamilton),Albina Hazard,198181541-4
192,Between the Devil and the Deep Blue Sea,Estrella Belderfield,160922095-1
193,Sick Girl,Yettie Clemont,238658295-7
194,Sin Nombre,Sander Covill,000984222-5
195,"Life and Death of Peter Sellers,The",Virgie Proger
196,Thief of Hearts,Winna Erwin,024808010-5
197,47 Ronin,Tisha Seabridge,949781851-3
198,"Woman Always Pays,The (Afgrunden) (Abyss,The)"
199,Louis C.K.: Live at the Beacon Theater,Anallese MacAiline,212323359-5
200,"Marriage of Maria Braun,The (Ehe der Maria Braun,Die)"
201,Annie Get Your Gun,Hanni Jarrard,306729732-6
202,"Way Ahead,The (a.k.a. The Immortal Battalion)",Michaeline Jobbings
203,"Same Love,Same Rain (El mismo amor,la misma lluvia)"
204,Girl 27,Beverlee Bernette,384149182-0
205,Marat/Sade,Jodi Mableson,476904669-3
206,Nostalgia for the Light (Nostalgia de la luz),Hermia Litherborough,969935871-8
